Date,Average_Price,Rainfall_Kurunegala,Rainfall_Puttalam,Rainfall_Colombo,Temp_Kurunegala,Temp_Puttalam,Temp_Colombo
7/1/2023,82452.00,56.4,50.1,58.2,0,0,0
14/01/2023,79037.00,56.4,50.1,58.2,0,0,0
21/01/2023,84117.00,56.4,50.1,58.2,0,0,0
28/01/2023,80812.00,56.4,50.1,58.2,0,0,0
7/2/2023,75397.00,98.8,43.1,72.7,0,0,0
14/02/2023,73481.00,98.8,43.1,72.7,0,0,0
21/02/2023,80737.00,98.8,43.1,72.7,0,0,0
28/02/2023,85014.00,98.8,43.1,72.7,0,0,0
7/3/2023,82151.00,56.4,50.1,58.2,0,0,0
14/03/2023,82261.00,56.4,50.1,58.2,0,0,0
21/03/2023,83219.00,56.4,50.1,58.2,0,0,0
28/03/2023,78226.00,98.8,43.1,72.7,0,0,0
7/4/2023,73368.00,98.8,43.1,72.7,0,0,0
14/04/2023,72796.00,98.8,43.1,72.7,0,0,0
21/04/2023,69687.00,98.8,43.1,72.7,0,0,0
28/04/2023,69687.00,98.8,43.1,72.7,0,0,0
7/1/2022,64657.00,8.9,43.8,76.2,0,0,0
14/01/2022,61037.00,8.9,43.8,76.2,0,0,0
21/01/2022,61059.00,8.9,43.8,76.2,0,0,0
28/01/2022,58634.00,8.9,43.8,76.2,0,0,0
7/2/2022,54064.00,15,69.7,24.9,0,0,0
14/02/2022,54801.00,15,69.7,24.9,0,0,0
21/02/2022,56505.00,15,69.7,24.9,0,0,0
28/02/2022,60221.00,15,69.7,24.9,0,0,0
7/3/2022,58017.00,104,40.2,54.9,0,0,0
14/03/2022,61360.00,104,40.2,54.9,0,0,0
21/03/2022,64863.00,104,40.2,54.9,0,0,0
28/03/2022,64703.00,104,40.2,54.9,0,0,0
7/4/2022,55762.00,332.3,192.6,474.2,0,0,0
14/04/2022,56205.00,332.3,192.6,474.2,0,0,0
21/04/2022,56205.00,332.3,192.6,474.2,0,0,0
28/04/2022,60213.00,332.3,192.6,474.2,0,0,0
7/5/2022,57254.00,0,0,351.7,0,0,0
14/05/2022,56097.00,0,0,351.7,0,0,0
21/05/2022,53577.00,0,0,351.7,0,0,0
28/05/2022,52694.00,0,0,351.7,0,0,0
7/6/2022,53372.00,153,44.7,184.9,0,0,0
14/06/2022,52415.00,153,44.7,184.9,0,0,0
21/06/2022,45242.00,153,44.7,184.9,0,0,0
28/06/2022,46459.00,153,44.7,184.9,0,0,0
7/7/2022,46258.00,111.2,16.8,121.9,0,0,0
14/07/2022,47929.00,111.2,16.8,121.9,0,0,0
21/07/2022,59770.00,111.2,16.8,121.9,0,0,0
28/07/2022,64116.00,111.2,16.8,121.9,0,0,0
7/8/2022,62330.00,98,17.1,119.5,0,0,0
14/08/2022,64618.00,98,17.1,119.5,0,0,0
21/08/2022,65311.00,98,17.1,119.5,0,0,0
28/08/2022,64192.00,98,17.1,119.5,0,0,0
7/9/2022,61308.00,165.3,67.8,245.4,0,0,0
14/09/2022,58356.00,165.3,67.8,245.4,0,0,0
21/09/2022,57396.00,165.3,67.8,245.4,0,0,0
28/09/2022,58517.00,165.3,67.8,245.4,0,0,0
7/10/2022,59180.00,354.4,232.1,365.4,0,0,0
14/10/2022,59236.00,354.4,232.1,365.4,0,0,0
21/10/2022,62038.00,354.4,232.1,365.4,0,0,0
28/10/2022,65388.00,354.4,232.1,365.4,0,0,0
7/11/2022,64122.00,318.6,250.3,414.4,0,0,0
14/11/2022,63660.00,318.6,250.3,414.4,0,0,0
21/11/2022,64154.00,318.6,250.3,414.4,0,0,0
28/11/2022,66247.00,318.6,250.3,414.4,0,0,0
7/12/2022,69976.00,149,142.7,175.3,0,0,0
14/12/2022,76439.00,149,142.7,175.3,0,0,0
21/12/2022,77786.00,149,142.7,175.3,0,0,0
28/12/2022,81304.00,149,142.7,175.3,0,0,0
7/5/2021,62636.00,188.3,84.3,392.4,0,0,0
14/05/2021,62636.00,188.3,84.3,392.4,0,0,0
21/05/2021,60375.00,188.3,84.3,392.4,0,0,0
28/05/2021,55224.00,188.3,84.3,392.4,0,0,0
7/6/2021,52912.00,111.2,16.8,121.9,0,0,0
14/06/2021,51421.00,111.2,16.8,121.9,0,0,0
21/06/2021,54061.00,111.2,16.8,121.9,0,0,0
28/06/2021,60207.00,111.2,16.8,121.9,0,0,0
7/7/2021,55985.00,111.2,16.8,121.9,0,0,0
14/07/2021,52728.00,111.2,16.8,121.9,0,0,0
21/07/2021,51440.00,111.2,16.8,121.9,0,0,0
28/07/2021,51101.00,111.2,16.8,121.9,0,0,0
7/8/2021,52025.00,98,17.1,119.5,0,0,0
14/08/2021,53778.00,98,17.1,119.5,0,0,0
21/08/2021,54140.00,98,17.1,119.5,0,0,0
28/08/2021,53028.00,98,17.1,119.5,0,0,0
7/9/2021,50194.00,165.3,67.8,245.4,0,0,0
14/09/2021,48880.00,165.3,67.8,245.4,0,0,0
21/09/2021,48433.00,165.3,67.8,245.4,0,0,0
28/09/2021,55361.00,165.3,67.8,245.4,0,0,0
7/10/2021,57775.00,354.4,232.1,365.4,0,0,0
14/10/2021,61636.00,354.4,232.1,365.4,0,0,0
21/10/2021,61830.00,354.4,232.1,365.4,0,0,0
28/10/2021,61676.00,354.4,232.1,365.4,0,0,0
7/11/2021,58898.00,354.4,232.1,365.4,0,0,0
14/11/2021,53976.00,354.4,232.1,365.4,0,0,0
21/11/2021,56136.00,354.4,232.1,365.4,0,0,0
28/11/2021,58611.00,354.4,232.1,365.4,0,0,0
7/12/2021,59545.00,149,142.7,175.3,0,0,0
14/12/2021,59545.00,149,142.7,175.3,0,0,0
21/12/2021,59545.00,149,142.7,175.3,0,0,0
28/12/2021,59545.00,149,142.7,175.3,0,0,0
7/1/2020,43306.00,56.4,50.1,58.2,0,0,0
14/01/2020,45265.00,56.4,50.1,58.2,0,0,0
21/01/2020,48078.00,56.4,50.1,58.2,0,0,0
28/01/2020,49382.00,56.4,50.1,58.2,0,0,0
7/2/2020,46969.00,98.8,43.1,72.7,0,0,0
14/02/2020,42977.00,98.8,43.1,72.7,0,0,0
21/02/2020,44882.00,98.8,43.1,72.7,0,0,0
28/02/2020,45455.00,98.8,43.1,72.7,0,0,0
7/3/2020,46131.00,139.1,67.7,128,0,0,0
14/03/2020,45500.00,139.1,67.7,128,0,0,0
21/03/2020,38216.00,264.3,181.5,245.6,0,0,0
28/03/2020,41071.00,264.3,181.5,245.6,0,0,0
7/4/2020,43388.00,264.3,181.5,245.6,0,0,0
14/04/2020,44162.00,264.3,181.5,245.6,0,0,0
21/04/2020,43388.00,264.3,181.5,245.6,0,0,0
28/04/2020,44162.00,264.3,181.5,245.6,0,0,0
7/5/2020,44241.00,188.3,84.3,392.4,0,0,0
14/05/2020,47098.00,188.3,84.3,392.4,0,0,0
21/05/2020,50970.00,188.3,84.3,392.4,0,0,0
28/05/2020,50402.00,188.3,84.3,392.4,0,0,0
7/6/2020,48269.00,153,44.7,184.9,0,0,0
14/06/2020,48118.00,153,44.7,184.9,0,0,0
21/06/2020,55319.00,153,44.7,184.9,0,0,0
28/06/2020,55017.00,153,44.7,184.9,0,0,0
7/7/2020,48743.00,111.2,16.8,121.9,0,0,0
14/07/2020,50268.00,111.2,16.8,121.9,0,0,0
21/07/2020,53628.00,111.2,16.8,121.9,0,0,0
28/07/2020,54505.00,111.2,16.8,121.9,0,0,0
7/8/2020,55115.00,98,17.1,119.5,0,0,0
14/08/2020,55115.00,98,17.1,119.5,0,0,0
21/08/2020,56886.00,98,17.1,119.5,0,0,0
28/08/2020,54592.00,98,17.1,119.5,0,0,0
7/9/2020,53624.00,165.3,67.8,245.4,0,0,0
14/09/2020,52794.00,165.3,67.8,245.4,0,0,0
21/09/2020,55463.00,165.3,67.8,245.4,0,0,0
28/09/2020,56494.00,165.3,67.8,245.4,0,0,0
7/1/2019,36000.00,0,0.2,15.4,0,0,0
14/01/2019,36000.00,0,0.2,15.4,0,0,0
21/01/2019,36000.00,0,0.2,15.4,0,0,0
28/01/2019,36000.00,0,0.2,15.4,0,0,0
7/2/2019,35000.00,85.3,122.7,156.9,0,0,0
14/02/2019,35000.00,85.3,122.7,156.9,0,0,0
21/02/2019,35000.00,85.3,122.7,156.9,0,0,0
28/02/2019,35000.00,85.3,122.7,156.9,0,0,0
7/3/2019,35000.00,32.7,33.3,41.4,0,0,0
14/03/2019,35000.00,32.7,33.3,41.4,0,0,0
21/03/2019,35000.00,32.7,33.3,41.4,0,0,0
28/03/2019,35000.00,32.7,33.3,41.4,0,0,0
7/4/2019,34000.00,145.5,94.3,193.8,0,0,0
14/04/2019,34000.00,145.5,94.3,193.8,0,0,0
21/04/2019,32400.00,145.5,94.3,193.8,0,0,0
28/04/2019,32400.00,145.5,94.3,193.8,0,0,0
7/5/2019,32000.00,0.9,2.3,126.9,0,0,0
14/05/2019,32000.00,0.9,2.3,126.9,0,0,0
21/05/2019,31400.00,0.9,2.3,126.9,0,0,0
28/05/2019,30000.00,0.9,2.3,126.9,0,0,0
7/6/2019,30000.00,156.4,40.7,257.2,0,0,0
14/06/2019,30000.00,156.4,40.7,257.2,0,0,0
21/06/2019,30000.00,156.4,40.7,257.2,0,0,0
28/06/2019,30000.00,156.4,40.7,257.2,0,0,0
7/7/2019,30000.00,96.2,2.3,136.1,0,0,0
14/07/2019,30000.00,96.2,2.3,136.1,0,0,0
21/07/2019,30000.00,96.2,2.3,136.1,0,0,0
28/07/2019,31000.00,96.2,2.3,136.1,0,0,0
7/8/2019,31000.00,137.1,88.3,288.4,0,0,0
14/08/2019,31000.00,137.1,88.3,288.4,0,0,0
21/08/2019,31000.00,137.1,88.3,288.4,0,0,0
28/08/2019,31000.00,137.1,88.3,288.4,0,0,0
7/9/2019,29000.00,157.3,288.5,609.8,0,0,0
14/09/2019,28000.00,157.3,288.5,609.8,0,0,0
21/09/2019,27000.00,157.3,288.5,609.8,0,0,0
28/09/2019,28000.00,157.3,288.5,609.8,0,0,0
7/10/2019,30000.00,479.8,576.1,354.9,0,0,0
14/10/2019,31000.00,479.8,576.1,354.9,0,0,0
21/10/2019,32000.00,479.8,576.1,354.9,0,0,0
28/10/2019,35000.00,479.8,576.1,354.9,0,0,0
7/11/2019,36000.00,322.1,286.1,433.6,0,0,0
14/11/2019,36000.00,322.1,286.1,433.6,0,0,0
21/11/2019,36000.00,322.1,286.1,433.6,0,0,0
28/11/2019,38000.00,322.1,286.1,433.6,0,0,0
7/12/2019,39000.00,322.1,286.1,433.6,0,0,0
14/12/2019,40000.00,156.1,198.9,250.3,0,0,0
21/12/2019,40000.00,156.1,198.9,250.3,0,0,0
28/12/2019,40000.00,156.1,198.9,250.3,0,0,0
7/2/2018,48000.00,14.7,37.7,108.8,0,0,0
14/02/2018,48000.00,14.7,37.7,108.8,0,0,0
21/02/2018,48000.00,14.7,37.7,108.8,0,0,0
28/02/2018,48000.00,14.7,37.7,108.8,0,0,0
7/3/2018,48000.00,148,13.4,68.8,0,0,0
14/03/2018,48000.00,148,13.4,68.8,0,0,0
21/03/2018,46000.00,148,13.4,68.8,0,0,0
28/03/2018,46000.00,148,13.4,68.8,0,0,0
7/4/2018,44000.00,178.9,290.2,265,0,0,0
14/04/2018,44000.00,178.9,290.2,265,0,0,0
21/04/2018,44000.00,178.9,290.2,265,0,0,0
28/04/2018,44000.00,178.9,290.2,265,0,0,0
7/5/2018,42000.00,652.5,390,421.7,0,0,0
14/05/2018,42000.00,652.5,390,421.7,0,0,0
21/05/2018,42000.00,652.5,390,421.7,0,0,0
28/05/2018,42000.00,652.5,390,421.7,0,0,0
7/6/2018,42000.00,159.6,56.7,155.8,0,0,0
14/06/2018,40000.00,159.6,56.7,155.8,0,0,0
21/06/2018,40000.00,159.6,56.7,155.8,0,0,0
28/06/2018,40000.00,159.6,56.7,155.8,0,0,0
7/7/2018,40000.00,44.6,1.1,68.9,0,0,0
14/07/2018,40000.00,44.6,1.1,68.9,0,0,0
21/07/2018,40000.00,44.6,1.1,68.9,0,0,0
28/07/2018,40000.00,44.6,1.1,68.9,0,0,0
7/8/2018,38000.00,70.7,0,63.9,0,0,0
14/08/2018,38000.00,70.7,0,63.9,0,0,0
21/08/2018,38000.00,70.7,0,63.9,0,0,0
28/08/2018,36000.00,70.7,0,63.9,0,0,0
7/9/2018,38000.00,121,17.6,263.7,0,0,0
14/09/2018,38000.00,121,17.6,263.7,0,0,0
21/09/2018,40000.00,121,17.6,263.7,0,0,0
28/09/2018,40000.00,121,17.6,263.7,0,0,0
7/10/2018,39000.00,471.2,320.8,539.7,0,0,0
14/10/2018,39000.00,471.2,320.8,539.7,0,0,0
21/10/2018,37000.00,471.2,320.8,539.7,0,0,0
28/10/2018,37000.00,471.2,320.8,539.7,0,0,0
7/11/2018,37000.00,350.4,205.5,420.7,0,0,0
14/11/2018,37000.00,350.4,205.5,420.7,0,0,0
21/11/2018,37000.00,350.4,205.5,420.7,0,0,0
28/11/2018,37000.00,350.4,205.5,420.7,0,0,0
7/12/2018,36000.00,99.4,74.4,139.5,0,0,0
14/12/2018,36000.00,99.4,74.4,139.5,0,0,0
21/12/2018,36000.00,99.4,74.4,139.5,0,0,0
28/12/2018,36000.00,99.4,74.4,139.5,0,0,0